Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,My-record-collection
That's The Price of Loving Me,Dean Wareham,,MASTER,,,2025,,,,,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-thats-the-price.jpg,Released on the 28th March 2025,,[236] Dean Wareham - That's the Price of Loving Me|https://www.fullofwishes.co.uk/2025/03/28/my-record-collection-dean-wareham-that-s-the-price-of-loving-me/
That's The Price of Loving Me,Dean Wareham,,LP,,,2025,Carpark Records,,You Were The Ones I Had to Betray|Dear Betty Baby|Mystery Guest|New World Julie|We're Not Finished Yet,Bourgeois Manqué|Yesterday's Hero|That's The Price of Loving Me|Reich der Träume|The Cloud is Coming,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-thats-the-price.jpg,"400 copies in 'neon pink', others in clear vinyl",|youweretheonesihadtobetray|dearbettybaby|mysteryguest|newworldjulie|werenotfinishedyet|bourgeoismanque|yesterdayshero|thatsthepriceoflovingme|reichdertraume|thecloudiscoming|||,
That's The Price of Loving Me,Dean Wareham,,CD,,,2025,Carpark Records,,You Were The Ones I Had to Betray|Dear Betty Baby|Mystery Guest|New World Julie|We're Not Finished Yet|Bourgeois Manqué|Yesterday's Hero|That's The Price of Loving Me|Reich der Träume|The Cloud is Coming,,,,,,|youweretheonesihadtobetray|dearbettybaby|mysteryguest|newworldjulie|werenotfinishedyet|bourgeoismanque|yesterdayshero|thatsthepriceoflovingme|reichdertraume|thecloudiscoming||||,
