slug,artistname,year,date,disambiguate,date-added,series,venue,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes
damon-and-naomi,Damon & Naomi,1996,1996-03-15,,1994-01-01,,"Alligator Lounge, Santa Monica CA, USA",alligator-lounge-santa-monica-ca-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,Spirit of Love|Tour Of The World|Forgot To Get High|Information Age|Laika|The New Historicism|New York City|How Long|Pandora's Box|(unknown),,,,,,,
damon-and-naomi,Damon & Naomi,1996,1996-03-18,,1994-01-01,,"Bottom of the Hill, San Francisco CA, USA",bottom-of-the-hill-san-francisco-ca-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1997,1997-03-19,,1994-01-01,,"12 Bar Club, London, UK",12-bar-club-london-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1997,1997-04-26,,1994-01-01,,"Terrastock, Providence RI, USA",terrastock-providence-ri-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,Spirit of Love|Laika|The New Historicism|Information Age|This Car Climbed Mt. Washington|New York City|How Long|Tour Of The World|Translucent Carriages|I Shall Be Released,,,,,,,
damon-and-naomi,Damon & Naomi,1997,1997-07-01,,1994-01-01,,"The Knitting Factory, New York, NY, USA",the-knitting-factory-new-york-ny-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1997,1997-07-05,,1994-01-01,,"Kilowatt, San Francisco, CA, USA",kilowatt-san-francisco-ca-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1997,1997-07-08,,1994-01-01,,"Club Passim, Cambridge, MA, USA",club-passim-cambridge-ma-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1997,1997-09-03,,1994-01-01,,"Threadwaxing Space, New York, NY, USA",threadwaxing-space-new-york-ny-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals|Masaki Batoh|Tom Rapp,The Navigator|New York City|How Long|Translucent Carriages|Tour of the World|Awake in a Muddle|^[unknown]|This Car Climbed Mt. Washington,,,,,,,
damon-and-naomi,Damon & Naomi,1997,1997-10-07,,1994-01-01,,"12 Bar Club, London, UK",12-bar-club-london-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1997,1997-12-12,,1994-01-01,,"Salamandra, Seville, Spain",salamandra-seville-spain,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-08,,1994-01-01,,"Free Street Taverna, Portland OR, USA",free-street-taverna-portland-or-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-09,,1994-01-01,,"TT the Bears, Cambridge MA, USA",tt-the-bears-cambridge-ma-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-10,,1994-01-01,,"Knitting Factory, New York NY, USA",knitting-factory-new-york-ny-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-11,,1994-01-01,,"Trocadero, Philadelphia PA, USA",trocadero-philadelphia-pa-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-13,,1994-01-01,,"Alvins, Detroit MI, USA",alvins-detroit-mi-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-14,,1994-01-01,,"Empty Bottle, Chicago IL, USA",empty-bottle-chicago-il-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-15,,1994-01-01,,"Lunapark, Los Angeles CA, USA",lunapark-los-angeles-ca-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-16,,1994-01-01,,"ARO.space, Seattle WA, USA",arospace-seattle-wa-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-04-18,,1994-01-01,,"Terrastock West, San Francisco CA, USA",terrastock-west-san-francisco-ca-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-05-20,,1994-01-01,,"Garage, London, UK",garage-london-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-06-07,,1994-01-01,,"Central Square, Cambridge MA, USA",central-square-cambridge-ma-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-07-02,,1994-01-01,,"Tin Angel. Philadelphia, PA, USA",tin-angel-philadelphia-pa-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,with Tom Rapp
damon-and-naomi,Damon & Naomi,1998,1998-07-25,,1994-01-01,,"Black Cat.  Washington DC, USA",black-cat--washington-dc-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-07-26,,1994-01-01,,"Cats Cradle, Carrboro NC, USA",cats-cradle-carrboro-nc-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-07-27,,1994-01-01,,"Smiths Old Bar, Atlanta GA, USA",smiths-old-bar-atlanta-ga-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-07-28,,1994-01-01,,"Moto Lounge.  Jacksonville, FL, USA",moto-lounge--jacksonville-fl-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-07-29,,1994-01-01,,"Sapphire Supper Club.  Orlando, FL, USA",sapphire-supper-club--orlando-fl-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-07-30,,1994-01-01,,"Red Star.  Tampa, FL, USA",red-star--tampa-fl-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-08-01,,1994-01-01,,"Mermaid Lounge, New Orleans LA, USA",mermaid-lounge-new-orleans-la-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-08-03,,1994-01-01,,"Electric Lounge, Austin TX, USA",electric-lounge-austin-tx-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-10-25,,1994-01-01,,"Dingwalls, London, UK",dingwalls-london-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1998,1998-11-02,,1994-01-01,,"Knust, Hamburg, Germany",knust-hamburg-germany,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1999,1999-01-29,,1994-01-01,,"Passim, Cambridge MA, USA",passim-cambridge-ma-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1999,1999-01-31,,1994-01-01,,"Tonic, New York NY, USA",tonic-new-york-ny-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1999,1999-08-26,,1994-01-01,,"Lift, Brighton, UK",lift-brighton-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1999,1999-08-28,,1994-01-01,,"ULU, London, UK",ulu-london-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1999,1999-09-02,,1994-01-01,,"Garage, London, UK",garage-london-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,1999,1999-10-01,,1994-01-01,,"(unknown), Jamaica Plain MA, USA",unknown-jamaica-plain-ma-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-18,,1994-01-01,,"Middle East, Cambridge MA, USA",middle-east-cambridge-ma-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-19,,1994-01-01,,"Tin Angel, Philadelphia PA, USA",tin-angel-philadelphia-pa-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,I Dreamed of the Caucasus|The New World|Judah and the Maccabees|New York City|The Navigator|The Mirror Phase|Blue Moon|Turn Of The Century|Tour Of The World|I Shall Be Released,,,,,,,With Michio Kurihara
damon-and-naomi,Damon & Naomi,2000,2000-10-20,,1994-01-01,,"Knitting Factory, New York NY, USA",knitting-factory-new-york-ny-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-22,,1994-01-01,,"Fletchers, Baltimore MD, USA",fletchers-baltimore-md-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-23,,1994-01-01,,"IOTA, Arlington VA, USA",iota-arlington-va-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-25,,1994-01-01,,"Grog Shop, Cleveland OH, USA",grog-shop-cleveland-oh-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-26,,1994-01-01,,"Magic Stick, Detroit MI, USA",magic-stick-detroit-mi-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-27,,1994-01-01,,"Schubas, Chicago IL, USA",schubas-chicago-il-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-28,,1994-01-01,,"7th St. Entry, Minneapolis MN, USA",7th-st-entry-minneapolis-mn-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-10-31,,1994-01-01,,"Knitting Factory, Los Angeles CA, USA",knitting-factory-los-angeles-ca-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,Judah and The Maccabees|The Mirror Phase|The New World|New York City|The Navigator|Eye of the Storm|Eulogy to Lenny Bruce|I Dreamed of the Caucasus|The Great Wall|Love|Tanka|Turn of The Century|Awake in a Muddle,,,,,,,
damon-and-naomi,Damon & Naomi,2000,2000-11-02,,1994-01-01,,"Berbatis Pan, Portland OR, USA",berbatis-pan-portland-or-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-03-24,,1994-01-01,,"Lees Palace, Toronto, Canada",lees-palace-toronto-canada,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-03-25,,1994-01-01,,"Babylon, Ottawa, Canada",babylon-ottawa-canada,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-03-26,,1994-01-01,,"Casa del Populo, Montreal, Canada",casa-del-populo-montreal-canada,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-09,,1994-01-01,,"Knitting Factory, New York NY, USA",knitting-factory-new-york-ny-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-10,,1994-01-01,,"Brattle Theater, Cambridge MA, USA",brattle-theater-cambridge-ma-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-11,,1994-01-01,,"Schubas, Chicago IL, USA",schubas-chicago-il-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-15,,1994-01-01,,"Garage, London, UK",garage-london-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,Judah and the Maccabees|The New World|Eye Of The Storm|Turn Of The Century|Song To The Siren|New York City|The Navigator|The Great Wall|I Dreamed of the Caucasus|Tanka|A Song for You|This Car Climbed Mt. Washington,,,,,,Download|https://www.mediafire.com/file/lindniw2xng/2001-05-15_Damon-Naomi_London.zip/file|Mediafire,
damon-and-naomi,Damon & Naomi,2001,2001-05-16,,1994-01-01,,"Little Civic, Wolverhampton, UK",little-civic-wolverhampton-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-17,,1994-01-01,,"Hop and Grapes, Manchester, UK",hop-and-grapes-manchester-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-19,,1994-01-01,,"Cumberland Arms, Newcastle, UK",cumberland-arms-newcastle-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-20,,1994-01-01,,"King Tuts Wah Wah Hut, Glasgow, UK",king-tuts-wah-wah-hut-glasgow-uk,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-23,,1994-01-01,,"VPRO radio, Amsterdam, Netherlands",vpro-radio-amsterdam-netherlands,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-24,,1994-01-01,,"Ekko, Utrecht, Netherlands",ekko-utrecht-netherlands,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,Judah and the Maccabees|The New World|Eye Of The Storm|Turn Of The Century|Song To The Siren|New York City|The Navigator|The Great Wall|I Dreamed of the Caucasus|Tanka|A Song for You|Love,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-26,,1994-01-01,,"Guignette Pirate, Paris, France",guignette-pirate-paris-france,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-27,,1994-01-01,,"Gasteszena, San Sebastian, Spain",gasteszena-san-sebastian-spain,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-29,,1994-01-01,,"Sala Quatre, Valencia, Spain",sala-quatre-valencia-spain,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-05-31,,1994-01-01,,"Intersecciones Fest, Oviedo, Spain",intersecciones-fest-oviedo-spain,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-06-01,,1994-01-01,,"Nasti, Madrid, Spain",nasti-madrid-spain,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-06-02,,1994-01-01,,"(unknown), Barcelona, Spain",unknown-barcelona-spain,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-07-11,,1994-01-01,,"Knitting Factory, New York NY, USA",knitting-factory-new-york-ny-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
damon-and-naomi,Damon & Naomi,2001,2001-07-12,,1994-01-01,,"Coolidge Corner Theater, Brookline MA, USA",coolidge-corner-theater-brookline-ma-usa,,,Damon Krukowski - guitar/vocals|Naomi Yang - keyboards/bass/vocals,,,,,,,,
